T,0,1,2,3,4,5
16,0,265.00,530.00,1238.00,1946.00,2654.00
15,0,265.00,530.00,1238.00,1946.00,2654.00
14,0,265.00,530.00,1238.00,1946.00,2654.00
13,0,265.00,530.00,1238.00,1946.00,2654.00
12,0,265.00,530.00,1238.00,1946.00,2654.00
11,0,265.00,530.00,1238.00,1946.00,2654.00
10,0,265.00,530.00,1238.00,1946.00,2654.00
9,0,265.00,530.00,1238.00,1946.00,2654.00
8,0,265.00,530.00,1238.00,1946.00,2654.00
7,0,265.00,530.00,1238.00,1946.00,2654.00
6,0,265.00,530.00,1238.00,1946.00,2654.00
5,0,265.00,530.00,1238.00,1946.00,2654.00
4,0,265.00,530.00,1238.00,1946.00,2654.00
3,0,265.00,530.00,1238.00,1946.00,2654.00
