T,0,1,2,3,4,5
16,0,161.32,349.20,537.08,1375.16,2280.16
15,0,161.32,349.20,537.08,1375.16,2280.16
14,0,161.32,349.20,537.08,1375.16,2280.16
13,0,161.32,349.20,537.08,1375.16,2280.16
12,0,161.32,349.20,537.08,1375.16,2280.16
11,0,161.32,349.20,537.08,1375.16,2280.16
10,0,161.32,349.20,537.08,1375.16,2280.16
9,0,161.32,349.20,537.08,1375.16,2280.16
8,0,161.32,349.20,537.08,1375.16,2280.16
7,0,161.32,349.20,537.08,1375.16,2280.16
6,0,161.32,349.20,537.08,1375.16,2280.16
5,0,161.32,354.31,557.53,1410.95,2331.29
4,0,161.32,354.31,552.42,1400.73,2310.84
3,0,161.32,354.31,557.53,1406.84,2321.06
