T,0,1,2,3,4,5
16,0,543.80,815.70,1589.29,2362.88,3136.47
15,0,543.80,815.70,1589.29,2362.88,3136.47
14,0,543.80,815.70,1589.29,2362.88,3136.47
13,0,543.80,815.70,1589.29,2362.88,3136.47
12,0,543.80,815.70,1589.29,2362.88,3136.47
11,0,543.80,815.70,1589.29,2362.88,3136.47
10,0,543.80,815.70,1589.29,2362.88,3136.47
9,0,543.80,815.70,1589.29,2362.88,3136.47
8,0,543.80,815.70,1589.29,2362.88,3136.47
7,0,543.80,815.70,1589.29,2362.88,3136.47
6,0,543.80,815.70,1589.29,2362.88,3136.47
5,0,548.91,841.15,1635.19,2429.23,3223.27
