T,0,1,2,3,4,5
16,0,285.4,416.92,826.68,1236.44,1646.2
15,0,285.4,416.92,826.68,1236.44,1646.2
14,0,285.4,416.92,826.68,1236.44,1646.2
13,0,285.4,416.92,826.68,1236.44,1646.2
12,0,285.4,416.92,826.68,1236.44,1646.2
11,0,285.4,416.92,826.68,1236.44,1646.2
10,0,285.4,416.92,826.68,1236.44,1646.2
9,0,285.4,416.92,826.68,1236.44,1646.2
8,0,285.4,416.92,826.68,1236.44,1646.2
7,0,285.4,416.92,826.68,1236.44,1646.2
6,0,285.4,416.92,826.68,1236.44,1646.2
5,0,290.77,449.13,864.25,1290.11,1715.97
4,0,290.77,449.13,874.99,1306.22,1737.45
3,0,290.77,449.13,885.73,1322.33,1758.93
