T,0,1,2,3,4,5
16,0,166.43,354.31,542.19,1380.27,2285.27
15,0,166.43,354.31,542.19,1380.27,2285.27
14,0,166.43,354.31,542.19,1380.27,2285.27
13,0,166.43,354.31,542.19,1380.27,2285.27
12,0,166.43,354.31,542.19,1380.27,2285.27
11,0,166.43,354.31,542.19,1380.27,2285.27
10,0,166.43,354.31,542.19,1380.27,2285.27
9,0,166.43,354.31,542.19,1380.27,2285.27
8,0,166.43,354.31,542.19,1380.27,2285.27
7,0,166.43,354.31,542.19,1380.27,2285.27
6,0,166.43,354.31,542.19,1380.27,2285.27
5,0,166.43,359.42,562.64,1416.06,2336.40
4,0,166.43,359.42,557.53,1405.84,2315.95
3,0,166.43,359.42,562.64,1411.95,2326.17
