T,0,1,2,3,4,5
16,0,271.90,543.80,1317.39,2090.98,2864.57
15,0,271.90,543.80,1317.39,2090.98,2864.57
14,0,271.90,543.80,1317.39,2090.98,2864.57
13,0,271.90,543.80,1317.39,2090.98,2864.57
12,0,271.90,543.80,1317.39,2090.98,2864.57
11,0,271.90,543.80,1317.39,2090.98,2864.57
10,0,271.90,543.80,1317.39,2090.98,2864.57
9,0,271.90,543.80,1317.39,2090.98,2864.57
8,0,271.90,543.80,1317.39,2090.98,2864.57
7,0,271.90,543.80,1317.39,2090.98,2864.57
6,0,271.90,543.80,1317.39,2090.98,2864.57
5,0,277.01,569.25,1363.29,2157.33,2951.37
