T,0,1,2,3,4,5
16,0.00,177.25,503.66,1032.82,1863.32,2666.55
15,0.00,177.25,503.66,1032.82,1863.32,2666.55
14,0.00,177.25,503.66,1032.82,1863.32,2666.55
13,0.00,177.25,503.66,1032.82,1863.32,2666.55
12,0.00,177.25,503.66,1032.82,1863.32,2666.55
11,0.00,177.25,503.66,1032.82,1863.32,2666.55
10,0.00,177.25,503.66,1032.82,1863.32,2666.55
9,0.00,177.25,503.66,1032.82,1863.32,2666.55
8,0.00,177.25,503.66,1032.82,1863.32,2666.55
7,0.00,177.25,503.66,1032.82,1863.32,2666.55
6,0.00,177.25,503.66,1032.82,1863.32,2666.55
