name,value
info,"Beträge der in der Entgeltordnung (Anlage A zum TV-L) geregelten Zulagen – gültig ab 1. Dezember 2022 –"
func_type,fabsolute
label_de,Entgeltgruppenzulagen
label_en,Tier Allowances
info_de,"Entgeltgruppenzulagen gemäß Teil II der Entgeltordnung in Höhe von {{ja_value}} zusätzlich zum monatlichen Bruttogehalt."
info_en,"Remuneration tier allowance according to Part II of the Remuneration Regulations in the amount of {{ja_value}} in addition to the monthly gross salary."
options,nein;ja
default_option,nein
options_label_de,Nein;Ja
options_label_en,No;Yes
