T,1,2,3,4,5,6
15Ü,6122.63,6795.90,7434.88,7853.95,7957.04,
15,5017.31,5394.35,5593.59,6301.27,6837.15,7042.26
14,4542.64,4885.93,5167.63,5593.59,6246.27,6433.67
13Ü,,4508.07,4748.54,5593.59,6246.27,6433.67
13,4188.38,4508.07,4748.54,5215.72,5861.53,6037.38
12,3774.86,4040.88,4604.26,5098.93,5737.87,5910.00
11,3652.64,3898.38,4178.29,4604.26,5222.60,5379.28
10,3523.62,3764.77,4040.88,4322.55,4858.48,5004.24
9b,3136.59,3369.08,3520.54,3939.07,4295.09,4423.96
9a,3136.59,3369.08,3419.58,3520.54,3939.07,4055.96
8,2946.46,3173.48,3299.66,3419.58,3552.10,3634.13
7,2772.35,2994.05,3160.84,3287.05,3388.03,3476.36
6,2725.66,2945.10,3067.49,3192.41,3274.43,3362.77
5,2618.93,2834.95,2957.34,3073.61,3167.15,3230.26
4,2500.70,2718.69,2871.67,2957.34,3043.02,3098.08
3,2468.79,2681.96,2743.16,2841.06,2920.62,2987.93
2Ü,2369.86,2577.93,2657.48,2755.41,2822.72,2914.51
2,2302.84,2504.49,2565.69,2626.88,2767.62,2914.51
1,,2094.49,2125.06,2161.78,2198.51,2290.30
