T,1,2,3,4,5,6
17,,4719.56,4884.75,5415.57,5976.21,6324.11
16,,4610.41,4772.03,5293.92,5902.25,6170.60
15,,4511.39,4659.30,5029.08,5471.63,5640.65
14,,4402.25,4546.59,4907.44,5397.68,5487.14
13,,4293.11,4433.87,4785.74,5039.82,5105.43
12,,4074.79,4208.41,4542.39,4747.57,4842.99
11,,3856.51,3982.94,4299.07,4509.00,4604.42
10,,3638.23,3757.49,4091.50,4252.54,4353.93
9,,3459.29,3638.23,3757.49,3984.14,4079.57
8,,3182.89,3337.98,3536.82,3697.43,3920.15
7,,2999.63,3182.89,3464.84,3605.78,3750.99
6,2514.29,2689.60,2858.69,3218.14,3309.76,3478.90
5,2408.81,2648.47,2717.75,2830.51,2915.09,3113.82
