T,1,2,3,4,5,6
18,4129.77,4255.33,4804.44,5216.23,5833.95,6211.42
17,3751.26,4083.75,4529.86,4804.44,5353.48,5676.08
16,3662.48,3994.55,4296.52,4667.14,5078.96,5326.04
15,3525.89,3843.52,4118.10,4433.81,4941.69,5161.30
14,3507.36,3804.10,4109.21,4419.58,4762.78,5002.98
13,3447.95,3708.47,4049.44,4323.95,4667.14,4838.72
12,3400.60,3697.96,4024.89,4313.15,4670.07,4821.07
11b,3312.44,3645.37,3819.73,4258.98,4602.18,4808.08
11a,3244.38,3575.21,3748.45,4186.72,4529.86,4735.78
10,3096.29,3416.24,3576.22,4050.58,4435.04,4750.84
9,3012.84,3299.02,3561.97,3944.47,4303.05,4577.98
8b,3012.84,3299.02,3561.97,3944.47,4303.05,4577.98
8a,2969.94,3227.29,3454.40,3669.56,3878.72,4096.87
7,2898.63,3142.08,3355.33,3568.53,3728.47,3967.08
4,2744.34,3002.13,3188.73,3315.33,3435.29,3622.14
3,2567.24,2824.89,3004.13,3168.73,3244.03,3333.99
2,2468.79,2681.96,2743.16,2841.06,2920.62,2987.93
