T,1,2,3,4,5,6
15,5309.71,5893.57,6454.04,6975.59,7458.22,7901.95
14,4959.42,5457.62,5940.26,6407.32,6851.05,7255.84
13,4648.06,5115.10,5566.62,6010.30,6352.83,6633.07
12,4336.69,4749.26,5161.81,5512.12,5854.65,6095.78
11,4064.22,4445.66,4780.39,5068.42,5309.71,5512.12
10,3791.78,4149.85,4500.12,4733.69,4897.16,5013.90
9,3562.60,3869.58,4173.22,4383.40,4461.20,4578.01
8,3339.03,3532.81,3698.36,3861.83,4025.30,4142.08
7,3115.44,3294.31,3450.85,3562.60,3637.16,3713.93
6,2929.07,3093.04,3242.12,3346.48,3406.07,3458.27
5,2742.76,2899.27,3033.46,3130.34,3189.95,3286.85
4,2639.15,2742.76,2869.48,2958.90,3018.54,3160.14
3b,2620.75,2706.24,2776.88,2829.06,2940.84,3052.66
3a,2563.87,2660.75,2742.76,2794.95,2906.72,3018.54
3,2444.64,2563.87,2660.75,2742.76,2794.95,2906.72
2,2295.54,2422.26,2534.06,2616.07,2668.24,2698.03
1,,,2071.97,,,
