T,1,2,3,4,5
15,5842.81,6009.48,6176.12,6342.79,6509.44
14,5330.62,5480.92,5631.21,5781.55,5931.84
13,4864.98,5000.43,5135.86,5271.33,5406.77
12,4469.31,4582.23,4695.13,4808.02,4929.41
11,4113.01,4214.55,4316.07,4417.58,4519.13
10,3789.10,3880.26,3971.46,4062.66,4153.85
9,3543.50,3626.43,3709.37,3792.31,3875.23
8,3293.99,3368.27,3442.56,3516.83,3591.09
7,3074.38,3140.75,3207.13,3273.54,3339.94
6,2850.01,2909.26,2968.49,3027.71,3086.96
5,2668.04,2720.76,2773.51,2826.21,2900.65
4,2542.42,2593.24,2644.07,2694.90,2754.92
3,2479.49,2528.32,2577.14,2625.96,2674.74
2,2326.58,2370.09,2413.59,2457.13,2500.61
1,2129.62,2166.87,2204.09,2241.31,2278.57
