T,1,2,3,4,5,6
15,6230.51,6593.79,6957.06,7320.34,7683.58,8046.88
14,5677.71,5993.63,6309.48,6625.38,6941.27,7257.16
13,5203.91,5472.40,5740.91,6009.39,6277.90,6546.41
12,4730.11,4998.58,5267.09,5535.58,5804.11,6072.59
11,4335.22,4556.34,4777.46,4998.58,5219.69,5440.81
10,3940.37,4129.90,4319.41,4508.96,4698.49,4888.02
9,3626.91,3798.22,3971.97,4145.73,4319.41,4493.15
8,3324.50,3475.71,3626.91,3782.41,3940.37,4098.34
7,3097.65,3218.62,3339.64,3460.59,3581.55,3703.46
6,2870.83,3006.94,3143.01,3279.13,3415.26,3551.31
5,2646.18,2780.07,2916.16,3052.31,3188.39,3324.50
5a,2618.71,2685.30,2748.49,2811.70,2874.87,2938.04
4,2575.85,2660.22,2764.93,2870.83,2976.67,3097.65
3,2505.50,2561.78,2618.03,2674.34,2734.72,2795.24
2,2364.82,2421.10,2477.39,2533.62,2589.89,2646.18
1,2224.17,2224.17,2224.17,2224.17,2224.17,2224.17
