T,1,2,3,4,5,6
15,5714.56,6349.50,6959.05,7526.29,8051.19,8533.74
14,5333.61,5875.42,6400.30,6908.29,7390.84,7831.08
13,4994.96,5502.94,5993.93,6476.49,6848.99,7153.80
12,4656.31,5105.04,5553.70,5934.69,6307.20,6569.47
11,4359.98,4774.83,5138.85,5452.16,5714.56,5934.69
10,4063.70,4453.15,4834.08,5088.06,5265.85,5392.81
9,3809.70,4148.35,4478.57,4707.12,4791.78,4918.77
8,3555.76,3775.84,3962.10,4139.91,4317.68,4444.68
7,3301.76,3504.93,3682.73,3809.70,3894.38,3979.05
6,3090.09,3276.34,3445.68,3564.19,3631.93,3691.20
5,2878.46,3056.23,3208.64,3318.68,3386.42,3496.46
4,2709.10,2878.46,3022.36,3123.96,3191.69,3352.54
3,2539.82,2675.27,2785.31,2878.46,2937.72,3064.68
2,2370.46,2514.40,2641.41,2734.54,2793.79,2827.65
1,,,2116.50,,,
