T,1,2,3,4,5,6
15Ü,6122.68,6795.14,7432.17,7856.88,7955.98,
15,5017.06,5358.22,5738.77,6258.28,6792.69,7144.27
14,4542.98,4851.90,5255.33,5703.01,6202.05,6560.31
13,4187.45,4526.02,4911.44,5329.90,5822.30,6089.52
12,3752.91,4142.50,4597.79,5102.97,5695.74,5977.00
11,3622.16,3980.48,4317.18,4682.47,5182.41,5463.69
10,3492.26,3773.01,4092.18,4438.33,4823.79,4950.36
9c,3361.34,3604.55,3908.13,4238.90,4597.52,4712.64
9b,3230.42,3341.54,3619.82,3925.18,4261.26,4542.51
9a,3099.50,3306.81,3363.83,3556.55,3909.66,4049.38
8,2910.37,3104.82,3239.51,3373.97,3518.19,3587.54
7,2733.87,2957.90,3091.36,3226.04,3353.07,3421.28
6,2683.45,2867.82,2997.10,3125.04,3250.70,3314.71
5,2576.29,2755.14,2875.93,3003.85,3122.72,3184.15
4,2456.51,2637.49,2789.34,2883.87,2978.39,3033.74
3,2418.66,2613.29,2660.65,2768.92,2850.16,2924.58
2Ü,2261.60,2487.98,2569.31,2677.75,2752.26,2807.88
2,2242.16,2439.13,2486.89,2555.05,2704.86,2861.58
1,,2015.52,2048.86,2090.55,2129.42,2229.47
