T,1,2,3,4,5,6
16,,4490.85,4648.28,5156.63,5749.20,6010.59
15,,4394.40,4538.47,4898.67,5329.75,5494.38
14,,4288.08,4428.68,4780.16,5257.71,5344.85
13,,4181.78,4318.89,4661.64,4909.13,4973.03
12,,3969.12,4099.27,4424.61,4624.46,4717.41
11,,3756.50,3879.67,4187.58,4392.07,4485.03
10,,3545.85,3660.42,3985.40,4142.26,4241.02
9,,3373.96,3545.85,3660.42,3880.82,3973.77
8,,3108.44,3257.43,3448.44,3602.71,3818.50
7,,2932.41,3108.44,3379.29,3514.69,3654.17
6,2473.40,2634.68,2797.02,3142.31,3230.33,3392.79
5,2376.30,2596.81,2661.62,2769.93,2851.19,3042.09
