dataset,working_time_weekly,source_url,notes,accessed_on
Beamte-BW-A,41,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (BW) laut dbb Übersicht,2026-03-24
Beamte-BW-AW,41,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (BW) laut dbb Übersicht,2026-03-24
Beamte-BW-B,41,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (BW) laut dbb Übersicht,2026-03-24
Beamte-BW-W,41,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (BW) laut dbb Übersicht,2026-03-24
Beamte-Bayern-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bayern) laut dbb Übersicht,2026-03-24
Beamte-Berlin-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Berlin) laut dbb Übersicht,2026-03-24
Beamte-Berlin-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Berlin) laut dbb Übersicht,2026-03-24
Beamte-Berlin-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Berlin) laut dbb Übersicht,2026-03-24
Beamte-Brandenburg-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Brandenburg) laut dbb Übersicht,2026-03-24
Beamte-Brandenburg-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Brandenburg) laut dbb Übersicht,2026-03-24
Beamte-Brandenburg-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Brandenburg) laut dbb Übersicht,2026-03-24
Beamte-Brandenburg-W,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Brandenburg) laut dbb Übersicht,2026-03-24
Beamte-Bremen-A,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bremen) laut dbb Übersicht,2026-03-24
Beamte-Bremen-AW,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bremen) laut dbb Übersicht,2026-03-24
Beamte-Bremen-B,40,https://www.dbb.de/lexikon/themenartikel/a/arbeitszeit.html,Regelarbeitszeit für Beamtinnen und Beamte (Bremen) laut dbb Übersicht,2026-03-24
