name,value,comment
link,https://www.vbl.de/documents/d/vbl/vorlaufige-rechengroessen_2025_west,
info,,
calc_fun,vbl_west,
label_de,"VBL-West 7,86% (nich ATV)",
label_en,"VBL-West 7.86% (non ATV)",
info_de,,
info_en,,
arbeitnehmeranteil,1.41,
arbeitgeberanteil,6.45,
pauschal,92.03,"Pauschalversteuerung der Arbeitgeberumlage nach § 40b EStG i. V. m. § 37 Abs. 2 ATV"
steuer_frei,322.00,"Steuerfreie Umlage des Arbeitgebers nach § 3 Nr. 56 EStG"
grenzbetrag,100,"Zurechnungsbetrag 1: abzgl. Grenzbetrag"
sozi_freibetrags,13.30,"Zurechnungsbetrag 2: abzgl. Abzüglich des Freibetrags"
