T,1,2,3,4,5,6,7,8,9,10
7,3132.51,3223.42,3314.28,3405.15,3496.09,3560.98,3625.90,3690.85,,
8,3211.48,3327.99,3444.44,3560.92,3677.43,3755.07,3832.71,3910.40,3988.01,
9,3384.62,3508.94,3633.23,3757.55,3881.83,3967.33,4052.80,4138.25,4223.71,
10,3634.51,3793.76,3953.03,4112.32,4271.59,4379.64,4488.25,4596.88,4705.51,
11,3995.66,4158.88,4322.66,4489.62,4656.58,4767.91,4880.74,4994.32,5107.88,5221.40
12,4526.46,4659.15,4859.36,5062.38,5197.76,5333.10,5468.48,5603.85,5739.22,
13,5185.88,5405.13,5624.41,5770.59,5916.75,6062.93,6209.14,6355.28,,
14,5497.69,5782.02,6066.36,6255.89,6445.48,6634.99,6824.55,7014.14,,
15,6329.31,6641.90,6892.00,7142.07,7392.17,7642.24,7892.36,,,
16,6960.06,7321.58,7610.86,7900.11,8189.32,8478.55,8767.79,,,
