T,1,2,3,4,5,6,7,8
3,2784.00,2856.60,2929.21,3001.80,3074.41,3147.00,3219.61,3165.00
4,2840.83,2916.61,2992.38,3068.17,3143.94,3219.71,3295.49,3371.26
5,2906.77,2987.72,3068.66,3149.61,3230.55,3311.49,3392.45,3473.39
6,2987.73,3073.73,3159.74,3245.74,3331.75,3417.76,3503.76,3589.77
7,3074.21,3166.37,3258.54,3350.71,3442.87,3535.03,3575.15,3615.26
8,3210.28,3314.83,3419.39,3523.94,3628.49,3733.05,3824.30,3915.54
9,3384.60,3503.79,3622.99,3742.18,3861.37,3980.56,4099.75,4218.94
10,3537.12,3706.33,3875.53,4044.73,4213.93,4333.35,4452.79,4572.23
11,4011.63,4159.70,4307.77,4455.83,4603.89,4751.96,4900.02,5048.08
12,4429.69,4612.40,4795.11,4977.82,5160.53,5343.23,5525.94,5708.65
13,5247.58,5379.10,5510.63,5642.15,5773.67,5905.19,6036.72,6168.25
14,5534.35,5773.07,6011.80,6250.53,6489.25,6727.98,6966.71,7205.43
15,6460.74,6704.48,6948.23,7191.97,7435.71,7679.45,7923.19,8166.93
16,7104.54,7304.74,7504.93,7705.11,7905.31,8105.51,8305.71,8505.91
