T,1,2,3,4,5,6,7,8
16,6368.18,6677.40,6911.29,7145.22,7377.79,7613.07,7846.97,8078.22
15,5772.62,6038.82,6241.80,6444.82,6647.81,6849.46,7051.12,7251.40
14,4722.70,5017.10,5312.87,5607.27,5810.26,6014.63,6217.60,6421.96
13,4592.31,4820.84,5048.02,5276.57,5433.86,5592.51,5749.77,5904.36
12,3916.11,4159.44,4404.10,4647.41,4816.81,4983.50,5151.55,5322.29
11,3652.61,3858.28,4062.62,4268.31,4409.46,4550.62,4691.78,4832.97
10,3195.55,3329.98,3524.46,3719.80,3918.78,4057.26,4195.70,4334.22
9,2985.43,3083.32,3237.34,3393.94,3547.92,3652.61,3761.51,3867.71
8,2766.18,2865.38,3005.00,3145.99,3286.92,3384.81,3483.99,3581.88
7,2614.79,2697.03,2805.37,2916.26,3024.59,3134.23,3216.46,3298.67
6,2490.79,2583.48,2677.42,2749.20,2823.61,2895.40,2974.99,3044.17
5,2438.59,2518.20,2582.14,2644.81,2707.47,2771.42,2834.04,2895.40
4,2420.35,2484.28,2548.22,2599.12,2650.03,2700.93,2751.81,2798.82
3,2370.74,2424.23,2477.74,2520.81,2563.87,2606.95,2650.03,2693.09
