T,1,2,3,4,5,6,7,8
3,2706.99,2763.31,2819.66,2865.01,2910.36,2955.72,3001.08,3046.42
4,2759.23,2826.55,2893.88,2947.47,3001.08,3054.68,3108.26,3157.76
5,2778.44,2862.26,2929.59,2995.58,3061.57,3128.91,3194.84,3259.46
6,2833.40,2931.00,3029.92,3105.51,3183.86,3259.46,3343.26,3416.11
7,2963.97,3050.57,3164.65,3281.42,3395.49,3510.94,3597.53,3684.10
8,3123.39,3227.85,3374.87,3523.33,3671.73,3774.80,3879.24,3982.32
9,3354.26,3457.34,3619.52,3784.42,3946.56,4056.80,4171.47,4283.30
10,3575.51,3717.07,3921.86,4127.55,4337.08,4482.89,4628.67,4774.53
11,4056.80,4273.37,4488.54,4705.13,4853.76,5002.40,5151.04,5299.72
12,4334.26,4590.49,4848.12,5104.32,5282.70,5458.23,5635.18,5814.97
13,5046.30,5286.94,5526.17,5766.83,5932.45,6099.51,6265.11,6427.89
14,5183.60,5493.61,5805.05,6115.06,6328.80,6544.01,6757.73,6972.92
15,6289.17,6569.48,6783.22,6997.00,7210.74,7423.08,7635.43,7846.32
16,6916.29,7241.90,7488.19,7734.52,7979.41,8227.16,8473.46,8716.97
