T,1,2,3,4,5,6,7,8
6,2798.39,2864.77,2929.79,3010.00,3093.00,3173.20,3263.10,3339.20
7,2914.57,2967.11,3047.37,3171.84,3293.55,3415.27,3506.56,3599.25
8,3086.08,3158.01,3270.01,3427.73,3583.99,3696.04,3806.67,3917.35
9,3271.42,3346.11,3470.59,3646.25,3803.92,3935.32,4054.26,4169.10
10,3506.56,3575.70,3792.87,4008.63,4220.23,4375.17,4524.54,4675.31
11,4019.70,4148.34,4369.62,4593.70,4740.33,4899.68,5054.77,5210.89
12,4311.55,4474.77,4740.33,5005.87,5185.25,5379.02,5567.13,5758.08
13,5018.46,5196.66,5451.71,5706.75,5883.43,6060.14,6236.82,6409.26
14,5280.72,5532.95,5864.95,6194.08,6420.67,6650.04,6876.61,7106.05
15,6477.64,6678.55,6905.11,7133.12,7359.68,7584.79,7809.95,8033.66
16,7153.06,7393.86,7654.64,7916.79,8176.16,8439.75,8700.52,8958.42
