T,1,2,3,4,5,6,7,8,9,10,11,12
5,2976.36,3042.97,3109.57,3176.18,3242.79,3309.40,3376.03,3442.65,,,,
6,3026.58,3099.71,3172.85,3246.00,3319.15,3392.27,3465.40,3538.51,,,,
7,3111.11,3202.07,3293.01,3383.90,3474.86,3539.78,3604.75,3669.72,,,,
8,3190.15,3306.68,3423.20,3539.74,3656.29,3733.96,3811.65,3889.36,3967.02,,,
9,3326.45,3449.33,3572.19,3695.07,3817.95,3902.37,3986.91,4071.36,4155.81,,,
10,3573.44,3730.84,3888.29,4045.70,4203.15,4308.10,4413.56,4520.90,4628.26,,,
11,3916.14,4072.76,4229.42,4386.08,4546.22,4653.01,4759.85,4868.15,4977.10,5086.10,,
12,4358.34,4548.64,4739.70,4933.46,5063.39,5193.30,5323.26,5453.20,5583.06,,,
13,5051.74,5262.14,5472.56,5612.86,5753.14,5893.45,6033.77,6174.04,,,,
14,5350.96,5623.86,5896.70,6078.64,6260.54,6442.48,6624.41,6806.34,,,,
15,6149.10,6449.11,6689.11,6929.13,7169.18,7409.21,7649.22,,,,,
16,6754.48,7101.42,7379.04,7656.65,7934.20,8211.82,8489.42,,,,,
