T,1,2,3,4,5,6,7,8,9,10,11,12
5,2964.74,3031.44,3098.12,3164.84,3231.52,3298.25,3364.98,3432.15,3499.30,,,
6,3008.47,3081.72,3154.98,3228.17,3301.43,3374.70,3447.94,3521.16,3619.66,,,
7,3071.17,3162.05,3252.87,3343.73,3434.59,3525.47,3590.33,3655.24,3720.14,,,
8,3163.34,3240.96,3357.40,3473.88,3590.25,3706.72,3784.36,3861.95,3939.63,4017.21,,
9,3292.40,3368.80,3493.06,3617.31,3741.59,3865.88,3951.28,4036.75,4122.20,4207.61,,
10,3468.80,3573.43,3730.33,3887.30,4044.23,4201.22,4305.83,4410.46,4516.20,4623.23,,
11,3929.36,4090.14,4250.94,4411.75,4575.05,4684.74,4794.39,4904.11,5014.42,5126.29,,
12,4462.46,4577.58,4773.73,4969.85,5103.00,5236.37,5369.70,5503.10,5636.51,,,
13,4956.45,5091.32,5307.34,5523.37,5667.38,5811.43,5955.41,6099.49,6243.50,,,
14,5197.52,5398.50,5678.63,5958.80,6145.51,6332.30,6519.12,6705.88,6892.63,,,
15,6217.90,6525.88,6772.29,7018.74,7265.10,7511.52,7757.92,,,,,
16,6839.35,7195.57,7480.54,7765.57,8050.54,8335.52,8620.45,,,,,
