T,1,2,3,4,5,6,7,8,9,10,11,12
4,2778.42,2811.20,2842.34,2905.63,2968.90,3032.18,3095.42,,,,,
5,2796.86,2847.38,2877.77,2940.71,3003.65,3066.61,3129.55,3192.49,,,,
6,2851.38,2889.18,2925.21,2994.35,3063.42,3132.57,3201.70,3270.83,3339.90,,,
7,2954.96,2984.41,3037.13,3124.10,3211.04,3298.00,3384.99,3447.10,3509.24,3571.35,,
8,3073.76,3112.71,3224.14,3335.61,3447.04,3558.52,3632.82,3707.08,3781.45,3855.72,,
9,3224.03,3259.94,3378.90,3497.83,3616.80,3735.76,3817.52,3899.30,3981.06,4062.85,,
10,3437.26,3499.04,3651.42,3803.83,3956.23,4108.66,4210.25,4312.32,4416.25,4520.21,,
11,3822.37,3978.49,4134.63,4290.87,4450.63,4557.11,4663.63,4770.15,4876.66,4983.14,,
12,4077.03,4263.22,4453.07,4643.54,4834.00,4960.95,5087.94,5214.93,5341.92,5468.87,,
13,4744.15,4949.85,5155.49,5361.19,5498.28,5635.45,5772.53,5909.71,6046.82,,,
14,4975.63,5242.34,5509.02,5775.76,5953.54,6131.39,6309.18,6486.99,6664.84,,,
15,6022.43,6315.66,6550.25,6784.83,7019.44,7254.03,7488.64,,,,,
16,6614.11,6953.21,7224.58,7495.90,7767.18,8038.53,8309.86,,,,,
