T,1,2,3,4,5,6,7,8
5,2742.25,2830.69,2894.05,2960.38,3025.14,3094.32,3156.25,3215.74
6,2796.22,2870.64,3011.33,3083.15,3147.92,3222.61,3288.85,3359.29
7,2898.33,2969.91,3059.62,3222.61,3321.97,3405.98,3472.25,3590.89
8,3048.70,3236.33,3355.02,3473.67,3648.87,3744.12,3816.61,3886.25
9,3216.88,3317.66,3473.67,3651.73,3782.48,3944.52,4039.36,4131.23
10,3429.60,3563.39,3782.48,4004.39,4166.25,4328.14,4476.90,4599.40
11,3887.67,4096.22,4307.70,4520.63,4660.65,4812.33,4993.16,5103.99
12,4156.03,4552.70,4660.65,4949.42,5082.11,5340.25,5439.42,5618.82
13,4856.06,5090.89,5325.67,5561.92,5783.61,5888.62,6110.29,6226.94
14,5096.69,5398.58,5732.58,6030.07,6232.81,6428.21,6638.24,6854.06
15,6186.12,6490.92,6668.85,6878.86,7088.87,7297.42,7468.06,7717.45
16,6801.58,7119.51,7361.60,7603.70,7844.34,8086.42,8328.52,8566.25
