T,1,2,3,4,5,6,7,8
4,2866.35,2929.18,2991.92,3054.84,3110.79,3145.47,3169.69,3173.50
5,2897.10,2964.01,3030.57,3097.56,3164.18,3230.97,3257.62,3269.50
6,2938.58,3018.70,3097.56,3169.69,3241.68,3313.87,3385.96,3415.19
7,3042.70,3133.36,3224.41,3314.96,3405.95,3496.83,3582.03,3643.81
8,3196.37,3304.56,3412.51,3521.91,3631.47,3732.93,3834.56,3925.07
9,3322.56,3436.01,3549.48,3665.82,3781.95,3895.49,4008.85,4104.50
10,3537.46,3691.18,3844.53,3999.64,4138.03,4285.75,4436.26,4553.63
11,3991.44,4125.77,4275.97,4429.25,4582.54,4735.81,4889.09,5043.29
12,4439.04,4596.47,4753.95,4911.38,5068.86,5226.33,5383.78,5532.97
13,4939.24,5107.88,5276.51,5445.10,5613.71,5782.33,5950.93,6115.53
14,5183.12,5410.26,5637.40,5864.54,6091.66,6318.82,6545.95,6738.55
15,6265.87,6467.93,6669.98,6859.49,7048.99,7238.50,7428.02,7568.98
16,6880.39,7115.89,7351.38,7572.96,7794.51,8016.06,8237.64,8396.86
