T,1,2,3,4,5,6,7,8
5,2740.95,2822.91,2886.61,2950.28,3013.99,3077.67,3141.35,3205.07
6,2794.76,2886.89,2980.60,3054.76,3128.88,3203.05,3284.28,3354.20
7,2897.00,2978.08,3088.70,3199.14,3309.65,3420.17,3502.73,3588.39
8,3049.13,3147.37,3290.05,3432.76,3575.38,3674.80,3774.14,3876.10
9,3217.93,3314.56,3471.22,3627.92,3784.62,3890.95,3997.26,4104.27
10,3431.01,3564.97,3760.83,3956.67,4150.61,4288.26,4426.81,4567.83
11,3883.50,4082.14,4283.61,4489.30,4628.22,4772.70,4916.71,5064.55
12,4141.20,4380.55,4625.31,4871.48,5041.61,5216.04,5388.26,5565.78
13,4817.90,5048.13,5281.69,5515.26,5677.31,5839.35,6001.19,6162.20
14,5056.74,5356.22,5658.39,5960.60,6169.34,6378.08,6586.85,6799.96
15,6137.00,6404.37,6611.66,6818.95,7026.23,7233.54,7440.84,7650.13
16,6747.62,7058.35,7297.78,7537.18,7776.55,8015.98,8255.43,8497.61
