T,1,2,3,4,5,6,7,8,9,10,11,12
4,2718.06,2757.47,2795.58,2832.49,2894.93,2957.42,3019.86,,,,,
5,2736.37,2793.44,2830.90,2867.10,2929.25,2991.42,3053.56,3115.74,,,,
6,2790.48,2835.03,2878.20,2920.05,2988.31,3056.55,3124.79,3193.04,3261.27,,,
7,2893.21,2929.72,2989.81,3048.15,3134.06,3219.90,3305.81,3367.10,3428.44,3489.79,,
8,3046.15,3093.45,3176.31,3257.01,3367.04,3477.12,3550.47,3623.83,3697.21,3770.56,,
9,3215.82,3260.27,3348.99,3435.36,3552.83,3670.28,3750.99,3831.79,3912.50,3993.25,,
10,3430.01,3501.07,3620.75,3737.55,3888.01,4038.50,4138.80,4239.26,4341.57,4443.90,,
11,3884.83,4006.42,4124.93,4240.56,4397.85,4502.68,4607.53,4712.51,4819.19,4925.89,,
12,4143.84,4293.14,4442.14,4587.75,4776.48,4903.65,5030.85,5158.04,5285.23,5412.41,,
13,4821.09,4986.12,5147.40,5304.53,5441.89,5579.23,5716.58,5853.95,5991.29,,,
14,5059.56,5284.96,5505.06,5719.79,5897.90,6076.01,6254.12,6432.24,6610.35,,,
15,6139.55,6381.58,6558.44,6730.57,6965.60,7200.55,7435.57,,,,,
16,6750.01,7033.01,7240.63,7442.82,7714.58,7986.37,8258.14,,,,,
