T,1,2,3,4,5,6,7,8,9,10,11,12
5,3076.36,3142.97,3209.57,3276.18,3342.79,3409.40,3476.03,3542.65,,,,
6,3126.58,3199.71,3272.85,3346.00,3419.15,3492.27,3565.40,3638.51,,,,
7,3211.11,3302.07,3393.01,3483.90,3574.86,3639.78,3705.68,3772.47,,,,
8,3290.15,3406.68,3523.20,3639.74,3758.67,3838.51,3918.38,3998.26,4078.10,,,
9,3426.45,3549.33,3672.21,3798.53,3924.85,4011.64,4098.54,4185.36,4272.17,,,
10,3673.50,3835.30,3997.16,4158.98,4320.84,4428.73,4537.14,4647.49,4757.85,,,
11,4025.79,4186.80,4347.84,4508.89,4673.51,4783.29,4893.13,5004.46,5116.46,5228.51,,
12,,4480.37,4676.00,4872.41,5071.60,5205.16,5338.71,5472.31,5605.89,5739.39,,,
13,,,5193.19,5409.48,5625.79,5770.02,5914.23,6058.47,6202.72,6346.91,,,
14,,,5500.79,5781.33,6061.81,6248.84,6435.84,6622.87,6809.89,6996.92,,,
15,,,,6321.27,6629.69,6876.41,7123.15,7369.92,7616.67,7863.40,,,
16,,,,6943.61,7300.26,7585.65,7871.04,8156.36,8441.75,8727.12,,,
