T,1,2,3,4,5,6,7,8,9,10,11,12
5,2675.35,2765.24,2835.08,2904.88,2974.74,3044.55,3114.38,3219.92,,,,
6,2760.15,2836.83,2913.49,2990.15,3066.81,3143.52,3220.21,3296.86,3411.30,,,
7,2872.25,2941.16,3037.65,3134.11,3230.59,3327.08,3423.55,3492.44,3561.35,3670.96,,
8,3039.06,3121.46,3245.10,3368.77,3492.40,3616.08,3698.48,3780.90,3863.35,3989.97,,
9,3310.41,3391.51,3523.45,3655.40,3787.42,3919.36,4010.07,4100.81,4191.52,4330.17,,
10,3544.06,3656.77,3825.79,3994.89,4163.97,4333.03,4447.15,4562.46,4677.74,4846.73,,
11,4040.16,4213.42,4386.69,4563.92,4741.14,4859.28,4977.43,5095.61,5213.77,5391.61,,
12,4322.70,4532.58,4743.87,4955.18,5166.42,5307.27,5448.16,5589.00,5729.89,5936.46,,
13,4838.65,5066.79,5294.92,5523.08,5751.27,5903.37,6055.49,6207.56,6359.71,6584.77,,
14,4913.01,5208.91,5504.77,5800.61,6096.52,6293.72,6491.00,6688.26,6885.52,7162.10,,
15,6370.10,6695.41,6955.68,7215.93,7476.15,7736.40,8086.21,,,,,
16,7026.50,7402.67,7703.70,8004.66,8305.62,8606.66,9007.40,,,,,
