T,1,2,3,4,5,6
16,6122.68,6795.14,7432.17,7856.88,7955.98,8368.10
15,5017.06,5358.22,5738.77,6258.28,6792.69,7144.27
14,4542.98,4851.90,5255.33,5703.01,6202.05,6560.31
13,4187.45,4526.02,4911.44,5329.90,5822.30,6089.52
12,3752.91,4142.50,4597.79,5102.97,5695.74,5977.00
11,3622.16,3980.48,4317.18,4682.47,5182.41,5463.69
10,3492.26,3773.01,4092.18,4438.33,4823.79,4950.36
9c,3100.00,3613.00,3919.00,4251.00,4610.00,4726.00
9b,3100.00,3346.00,3629.00,3936.00,4273.00,4555.00
9a,3100.00,3311.00,3369.00,3565.00,3921.00,4061.00
8,2910.37,3105.00,3242.00,3379.00,3526.00,3596.00
7,2733.87,2957.90,3092.00,3229.00,3358.00,3427.00
6,2683.45,2875.00,2997.10,3126.00,3254.00,3319.00
5,2576.29,2768.00,2887.00,3003.85,3124.00,3186.00
4,2456.51,2655.00,2804.00,2887.00,2978.39,3033.74
3,2418.66,2619.00,2679.00,2774.00,2852.00,2924.58
