T,1,2,3,4,5,6,7
16,6882.46,7411.88,7941.30,8470.72,9000.14,9529.56,10058.98
15,6353.04,6882.46,7411.88,7941.30,8470.72,9000.14,9529.56
14,5823.62,6353.04,6882.46,7411.88,7941.30,8364.84,8788.37
13,5294.20,5823.62,6353.04,6882.46,7306.00,7623.65,7941.30
12,4764.78,5294.20,5823.62,6353.04,6776.58,7094.23,7411.88
11,4341.24,4764.78,5188.32,5611.85,6035.39,6458.92,6776.58
10,4129.48,4447.13,4796.55,5183.02,5617.15,5876.56,6141.27
9c,3981.24,4256.54,4590.07,4960.67,5363.02,5543.03,5675.38
9b,3834.44,4097.71,4330.66,4611.25,4987.14,5304.79,5410.67
9a,3695.66,3917.71,4023.59,4198.30,4595.37,4987.14,5093.02
8,3490.06,3700.80,3844.72,3997.12,4155.95,4325.36,4452.42
7,3366.70,3577.44,3685.38,3829.30,3970.65,4076.53,4182.42
6,3263.90,3474.64,3582.58,3721.36,3860.14,3965.36,4071.24
5,3161.10,3371.84,3474.64,3592.86,3721.36,3824.16,3928.30
4,3058.30,3269.04,3371.84,3474.64,3577.44,3680.24,3783.04
3,2955.50,3166.24,3269.04,3371.84,3474.64,3577.44,3680.24
2,2785.88,2981.20,3084.00,3186.80,3289.60,3433.52,3536.32
1,,2580.28,2683.08,2785.88,2888.68,2991.48,3094.28
