T,1,2,3,4(a),4b,5,6
15Ü,6437.52,7123.44,7774.40,8201.34,,8306.36,
15,5156.62,5695.60,5898.57,6619.51,,7165.45,7374.42
14,4687.68,5177.63,5464.60,5898.57,,6563.49,6754.40
13Ü,,4792.67,5037.64,5464.60,5898.57,6563.49,6754.40
13,4337.72,4792.67,5037.64,5513.60,,6171.53,6350.68
12,3929.19,4316.71,4890.66,5394.62,,6045.54,6220.90
11,3810.03,4169.74,4456.69,4890.66,,5520.61,5680.22
10,3684.35,4031.86,4316.71,4603.66,,5149.67,5298.15
9,3318.60,3619.87,3776.95,4211.73,,4575.70,4706.98
8,3142.09,3421.18,3549.36,3671.17,,3810.03,3896.02
7,2980.61,3235.26,3408.34,3536.54,,3639.11,3730.62
6,2937.12,3185.57,3312.19,3440.41,,3523.72,3613.46
5,2837.72,3073.77,3198.00,3318.60,,3414.76,3478.86
4,2725.93,2955.77,3111.04,3198.00,,3286.56,3344.24
3,2694.87,2918.48,2980.61,3079.98,,3160.73,3229.05
2,2533.39,2738.35,2800.48,2862.58,,3005.43,3154.53
1,,2322.20,2353.24,2390.50,,2527.79,2520.96
