T,1a,1b,2,3,4,5,6
18,4179.57,4243.12,4306.66,4862.39,5279.13,5904.30,6286.33
17,3796.51,3964.76,4133.01,4584.49,4862.39,5418.04,5744.52
16,3706.65,3874.69,4042.72,4348.35,4723.43,5140.21,5390.27
15,3570.32,3729.14,3889.86,4167.76,4487.28,5001.29,5223.55
14,3551.89,3699.82,3849.98,4158.76,4472.88,4820.22,5063.33
13,3492.83,3622.34,3753.20,4098.26,4376.11,4723.43,4897.07
12,3445.77,3593.58,3742.57,4073.45,4365.16,4726.39,4879.19
11b,3358.11,3523.61,3689.33,3865.79,4310.36,4657.68,4866.07
11a,3290.45,3454.90,3619.35,3793.65,4237.21,4584.49,4792.89
9,3060.27,3202.52,3344.76,3606.19,3992.04,4354.95,4633.19
8b,3060.27,3202.52,3344.76,3606.19,3992.04,4354.95,4633.19
8a,3017.62,3145.54,3273.46,3499.23,3713.82,3925.50,4146.27
7,2946.72,3067.73,3188.73,3400.76,3612.71,3773.45,4014.92
4,2793.34,2921.48,3049.62,3235.13,3360.99,3480.24,3666.01
3,2617.26,2745.33,2873.40,3051.60,3215.25,3290.10,3379.54
2,2428.57,2546.92,2665.26,2731.03,2836.22,2921.68,2994.02
