T,1a,1b,2,3,4,5,6
16,6121.82,6324.57,6527.30,6741.17,7500.81,8076.11,8295.60
15Ü,,6964.85,7483.02,8168.92,8618.82,8729.47,
15,5573.02,5775.77,5978.48,6192.35,6952.00,7527.30,7746.79
14,5063.44,5248.08,5432.72,5735.10,6192.35,6893.02,7093.47
13Ü,,,5027.09,5285.20,5735.10,6893.02,7093.47
13,4688.80,4857.94,5027.09,5285.20,5786.72,6480.00,6668.07
12,4233.95,4382.71,4531.46,5130.31,5661.32,6347.24,6531.34
11,4099.73,4239.68,4379.61,4676.10,5130.31,5794.09,5961.58
10,3960.36,4096.53,4235.00,4531.46,4827.94,5403.22,5558.98
9b,3566.33,3686.03,3805.71,3964.72,4423.02,4799.02,4936.65
9a,3566.33,3686.03,3805.71,3857.96,3964.72,4423.02,4549.38
8,3366.07,3484.91,3603.75,3733.86,3857.96,3998.40,4085.95
7,3180.10,3298.45,3416.79,3590.84,3720.83,3825.31,3917.57
6,3130.00,3247.61,3365.22,3494.15,3623.08,3707.77,3799.17
5,3015.57,3132.37,3249.17,3378.12,3500.58,3597.30,3662.03
4,2891.20,3008.94,3126.68,3287.85,3378.12,3468.35,3526.38
3,2858.39,2973.19,3088.00,3152.48,3255.61,3339.41,3410.35
2Ü,,2759.95,2978.40,3062.21,3165.37,3236.29,3294.29
2,2688.29,2794.66,2901.04,2965.51,3029.98,3178.26,3332.97
1,,,2480.40,2510.94,2547.60,2584.28,2675.9
