T,1,2,3,4,5,6
17,,4919.56,5084.75,5615.57,6176.21,6524.11
16,,4810.41,4972.03,5493.92,6102.25,6370.60
15,,4711.39,4859.30,5229.08,5671.63,5840.65
14,,4602.25,4746.59,5107.44,5597.68,5687.14
13,,4493.11,4633.87,4985.74,5239.82,5305.43
12,,4274.79,4408.41,4742.39,4947.57,5042.99
11,,4056.51,4182.94,4499.07,4709.00,4804.42
10,,3838.23,3957.49,4291.50,4452.54,4553.93
9,,3659.29,3838.23,3957.49,4184.14,4279.57
8,,3382.89,3537.98,3736.82,3897.43,4120.15
7,,3199.63,3382.89,3664.84,3805.78,3950.99
6,2714.29,2889.60,3058.69,3418.14,3509.76,3678.90
5,2608.81,2848.47,2917.75,3030.51,3115.09,3313.82
