T,1,2,3,4,5,6
18,4329.77,4455.33,5004.44,5416.23,6033.95,6411.42
17,3951.26,4283.75,4729.86,5004.44,5553.48,5876.08
16,3862.48,4194.55,4496.52,4867.14,5278.96,5526.04
15,3725.89,4043.52,4318.10,4633.81,5141.69,5361.30
14,3707.36,4004.10,4309.21,4619.58,4962.78,5202.98
13,3647.95,3908.47,4249.44,4523.95,4867.14,5038.72
12,3600.60,3897.96,4224.89,4513.15,4870.07,5021.07
11b,3512.44,3845.37,4019.73,4458.98,4802.18,5008.08
11a,3444.38,3775.21,3948.45,4386.72,4729.86,4935.78
9,3273.29,3570.86,3831.83,4215.00,4575.30,4853.28
8b,3212.84,3499.02,3761.97,4144.47,4503.05,4777.98
8a,3169.94,3427.29,3654.40,3869.56,4078.72,4296.87
7,3098.63,3342.08,3555.33,3768.53,3928.47,4167.08
4,2944.34,3202.13,3388.73,3515.33,3635.29,3822.14
3,2767.24,3024.89,3204.13,3368.73,3444.03,3533.99
2,2668.79,2881.96,2943.16,3041.06,3120.62,3187.93
