T,1,2,3,4,5
15,6292.92,6461.59,6630.23,6798.90,6967.55,7136.20
14,5774.59,5926.69,6078.78,6230.93,6383.02,6535.11
13,5303.36,5440.44,5577.49,5714.59,5851.65,5988.71
12,4902.94,5017.22,5131.47,5245.72,5368.56,5491.40
11,4542.37,4645.12,4747.86,4850.59,4953.36,5056.13
10,4214.57,4306.82,4399.13,4491.41,4583.70,4675.99
9,3966.02,4049.95,4133.88,4217.82,4301.73,4385.64
8,3713.52,3788.69,3863.87,3939.03,4014.18,4089.33
7,3491.27,3558.44,3625.62,3692.82,3760.02,3827.22
6,3264.21,3324.17,3384.11,3444.04,3504.00,3563.96
5,3080.06,3133.41,3186.79,3240.12,3315.46,3390.80
4,2952.93,3004.36,3055.80,3107.24,3167.98,3228.72
3,2889.24,2938.66,2988.07,3037.47,3086.84,3136.21
2,2734.50,2778.53,2822.55,2866.62,2910.62,2954.62
1,2535.18,2572.87,2610.54,2648.21,2685.91,2723.61
