T,1,2,3,4,5,6
15,6784.19,7167.45,7550.70,7933.96,8317.18,8700.46
14,6200.98,6534.28,6867.50,7200.78,7534.04,7867.30
13,5701.13,5984.38,6267.66,6550.91,6834.18,7117.46
12,5201.27,5484.50,5767.78,6051.04,6334.34,6617.58
11,4784.66,5017.94,5251.22,5484.50,5717.77,5951.05
10,4368.09,4568.04,4767.98,4967.95,5167.91,5367.86
9,4037.39,4218.12,4401.43,4584.75,4767.98,4951.27
8,3718.35,3877.87,4037.39,4201.44,4368.09,4534.75
7,3479.02,3606.64,3734.32,3861.92,3989.54,4118.15
6,3239.73,3383.32,3526.88,3670.48,3814.10,3957.63
5,3002.72,3143.97,3287.55,3431.17,3574.75,3718.35
4,2928.52,3017.53,3128.00,3239.73,3351.39,3479.02
3,2854.30,2913.67,2973.02,3032.43,3096.13,3159.98
2,2705.89,2765.26,2824.65,2883.97,2943.33,3002.72
1,2564.17,2564.17,2564.17,2564.17,2564.17,2564.17
BW,3426.63,3489.97,3553.35,3616.70,3680.79,3744.15
