T,1,2,3,4,5,6
1,2604.51,2604.51,2604.51,2604.51,2604.51,2604.51
2,2922.27,3059.02,3178.31,3282.48,3348.76,3386.63
3,3095.47,3216.19,3339.27,3443.47,3514.69,3651.77
4,3314.22,3469.13,3604.43,3718.07,3824.60,3997.77
5,3505.59,3669.68,3812.80,3935.89,4011.65,4134.75
6,3742.56,3924.87,4077.93,4210.50,4286.28,4352.58
7,3988.65,4180.08,4343.09,4485.12,4579.84,4674.56
8,4280.31,4480.84,4672.27,4863.65,5053.33,5195.40
9,4618.94,5009.05,5282.91,5488.94,5583.65,5725.69
10,4911.53,5360.14,5693.02,5915.06,6113.92,6255.93
11,5252.83,5730.72,6085.01,6367.50,6615.84,6862.07
12,5594.19,6111.10,6604.50,7005.53,7287.88,7572.11
13,5984.29,6569.45,7135.05,7588.81,7916.96,8245.12
14,6374.40,6998.53,7603.17,8172.16,8646.11,9120.06
15,6813.22,7544.64,8246.81,8883.08,9402.58,9922.08
