T,1,2,3,4,5,6
16,,4948.85,5114.94,5651.24,6276.41,6552.17
15,,4847.09,4999.09,5379.10,5833.89,6007.57
14,,4734.92,4883.26,5254.07,5757.88,5849.82
13,,4622.78,4767.43,5129.03,5390.13,5457.55
12,,4398.42,4535.73,4878.96,5089.81,5187.87
11,,4174.11,4304.05,4628.90,4844.63,4942.71
10,,3951.87,4072.74,4415.60,4581.08,4685.28
9,,3770.53,3951.87,4072.74,4305.27,4403.33
8,,3490.40,3647.59,3849.10,4011.86,4239.52
7,,3304.69,3490.40,3776.15,3919.00,4066.15
6,2820.44,2990.59,3161.86,3526.14,3619.00,3790.39
5,2718.00,2950.63,3019.01,3133.28,3219.01,3420.40
