T,1,2,3,4,5,6
18,4591.95,4708.94,5288.55,5723.21,6375.22,6773.65
17,4233.84,4527.84,4998.73,5288.55,5868.09,6208.58
16,4147.17,4433.68,4752.42,5143.62,5578.29,5839.11
15,4000.66,4274.25,4564.08,4897.32,5433.43,5665.23
14,3962.44,4232.66,4554.71,4882.30,5244.56,5498.11
13,3869.68,4132.98,4491.62,4781.38,5143.62,5324.74
12,3859.50,4122.07,4465.71,4769.97,5146.70,5306.08
11b,3808.48,4067.31,4249.15,4712.82,5075.04,5292.38
11a,3741.49,3994.28,4174.59,4636.51,4998.73,5216.07
9,3549.30,3781.54,4053.20,4455.27,4835.59,5128.99
8b,3481.39,3708.79,3980.49,4380.82,4759.33,5049.51
8a,3413.85,3636.31,3868.50,4092.49,4311.44,4541.67
7,3333.59,3550.19,3765.70,3987.31,4153.80,4404.69
4,3201.81,3408.76,3597.33,3725.30,3848.61,4043.12
3,3034.89,3229.62,3410.78,3577.12,3653.23,3744.14
2,2829.14,2948.41,3036.64,3132.45,3240.19,3347.95
