T,1,2,3,4,5,6
15Ü,,6955.18,7685.87,8378.11,8839.65,8947.29
15,5669.12,6039.84,6453.36,7017.89,7598.61,7980.65
14,5153.96,5489.64,5928.03,6414.51,6956.78,7346.09
13,4767.62,5135.53,5554.35,6009.06,6544.14,6834.50
12,4295.43,4718.78,5213.52,5762.47,6406.61,6712.24
11,4153.35,4542.72,4908.59,5305.54,5848.79,6154.45
10,4012.19,4317.28,4664.10,5040.24,5459.10,5596.64
9c,3901.48,4173.64,4469.61,4788.53,5131.37,5377.14
9b,3676.89,3929.00,4089.07,4562.79,4843.49,5168.65
9a,3558.96,3772.32,3986.06,4461.84,4569.48,4844.33
8,3391.44,3596.59,3738.68,3883.66,4040.37,4115.73
7,3205.23,3441.58,3582.38,3724.47,3860.94,3935.06
6,3152.04,3346.55,3482.94,3617.92,3750.49,3819.26
5,3038.99,3227.67,3355.11,3490.06,3615.47,3680.28
4,2912.62,3103.55,3263.75,3363.48,3463.20,3521.60
3,2872.69,3078.02,3127.99,3242.21,3327.92,3406.43
2Ü,2711.60,2945.82,3031.62,3146.03,3224.63,3339.97
2,2692.16,2894.28,2944.67,3016.58,3174.63,3339.97
1,,2465.52,2498.86,2540.55,2579.42,2679.47
