T,1,2,3,4,5,6
16,7807.00,8034.88,8426.07,9083.28,10059.23,10550.00
15,6541.00,6730.90,7089.49,7708.56,8683.24,9361.02
14,5960.75,6161.99,6489.30,7054.34,8012.41,8636.52
13,5380.50,5561.43,5882.46,6392.89,7258.35,7822.14
12,4853.00,5038.68,5551.06,6113.33,6773.11,7086.16
11,4536.50,4709.52,4979.43,5408.59,6188.23,6666.41
10,4220.00,4400.41,4651.77,5051.44,5777.50,6222.82
9,3798.00,3959.42,4184.32,4541.92,5039.97,5426.29
8,3534.25,3741.95,3892.02,4048.46,4192.37,4271.99
7,3376.00,3581.73,3724.98,3874.32,4011.70,4087.71
6,3270.50,3469.37,3607.85,3752.21,3885.01,3958.49
5,3165.00,3357.01,3490.72,3630.10,3758.32,3829.27
