T,1,2,3,4,5,6
16,6870.54,7601.27,8293.50,8755.01,8862.70,9321.79
15,5669.12,6039.84,6453.36,7017.89,7598.61,7980.65
14,5153.96,5489.64,5928.03,6414.51,6956.78,7346.09
13,4767.62,5135.53,5554.35,6009.06,6544.14,6834.50
12,4295.43,4718.78,5213.52,5762.47,6406.61,6712.24
11,4153.35,4542.72,4908.59,5305.54,5848.79,6154.45
10,4012.19,4317.28,4664.10,5040.24,5459.10,5596.64
9c,3869.93,4134.21,4464.10,4823.53,5213.22,5338.33
9b,3729.09,3848.41,4150.81,4482.62,4847.83,5153.45
9a,3590.97,3810.67,3872.64,4082.05,4465.76,4617.59
8,3391.44,3596.59,3738.68,3883.66,4040.37,4115.73
7,3205.23,3441.58,3582.38,3724.47,3860.94,3935.06
6,3152.04,3346.55,3482.94,3617.92,3750.49,3819.26
5,3038.99,3227.67,3355.11,3490.06,3615.47,3680.28
4,2912.62,3103.55,3263.75,3363.48,3463.20,3521.60
3,2872.69,3078.02,3127.99,3242.21,3327.92,3406.43
