T,1a,1b,2,3,4,5,6
18,4620.45,4687.49,4754.53,5340.82,5780.48,6440.04,6843.08
17,4216.32,4393.82,4571.33,5047.64,5340.82,5927.03,6271.47
16,4121.52,4298.80,4476.07,4798.51,5194.22,5633.92,5897.73
15,3977.69,4145.24,4314.80,4607.99,4945.08,5487.36,5721.85
14,3958.24,4114.31,4272.73,4598.49,4929.89,5296.33,5552.81
13,3895.94,4032.57,4170.63,4534.66,4827.80,5194.22,5377.41
12,3846.29,4002.23,4159.41,4508.49,4816.24,5197.34,5358.55
11b,3753.81,3928.41,4103.24,4289.41,4758.43,5124.85,5344.70
11a,3682.42,3855.92,4029.41,4213.30,4681.26,5047.64,5267.50
9,3439.58,3589.66,3739.72,4015.53,4422.60,4805.47,5099.02
8b,3439.58,3589.66,3739.72,4015.53,4422.60,4805.47,5099.02
8a,3394.59,3529.54,3664.50,3902.69,4129.08,4352.40,4585.31
7,3319.79,3447.46,3575.11,3798.80,4022.41,4191.99,4446.74
4,3157.97,3293.16,3428.35,3624.06,3756.84,3882.65,4078.64
3,2972.21,3107.32,3242.44,3430.44,3603.09,3682.06,3776.41
2,2773.14,2898.00,3022.85,3092.24,3203.21,3293.37,3369.69
