T,1,2,3,4,5,6
17,,5335.46,5514.61,6090.31,6698.35,7075.66
16,,5217.08,5392.36,5958.38,6618.13,6909.17
15,,5109.69,5270.10,5671.15,6151.11,6334.42
14,,4991.32,5147.86,5539.22,6070.91,6167.93
13,,4872.96,5025.61,5407.24,5682.79,5753.95
12,,4636.18,4781.09,5143.31,5365.84,5469.32
11,,4399.45,4536.56,4879.42,5107.10,5210.58
10,,4162.71,4292.05,4654.30,4828.96,4938.92
9,,3968.65,4162.71,4292.05,4537.87,4641.37
8,,3668.95,3837.08,4052.74,4226.92,4468.47
7,,3475.61,3668.95,3974.67,4127.52,4285.00
6,2963.58,3148.53,3326.92,3707.11,3806.48,3989.91
5,2852.29,3105.14,3178.23,3297.19,3386.42,3596.08
