T,1,2,3,4,5,6
18,4695.81,4831.98,5427.51,5874.12,6544.06,6953.44
17,4285.30,4645.90,5129.72,5427.51,6022.97,6372.84
16,4189.02,4549.16,4876.66,5278.61,5725.24,5993.21
15,4040.87,4385.36,4683.16,5025.55,5576.37,5814.54
14,4020.78,4342.61,4673.51,5010.12,5382.33,5642.84
13,3956.35,4238.90,4608.69,4906.41,5278.61,5464.69
12,3904.99,4227.50,4582.06,4894.69,5281.78,5445.55
11b,3809.38,4170.46,4359.56,4835.94,5208.16,5431.46
11a,3735.57,4094.37,4282.25,4757.57,5129.72,5353.05
9,3553.32,3872.74,4155.77,4571.34,4962.09,5263.58
8b,3489.55,3794.83,4080.01,4494.85,4883.74,5181.91
8a,3444.29,3717.03,3963.34,4196.70,4423.54,4660.13
7,3369.05,3625.89,3855.89,4087.12,4260.59,4519.37
4,3206.28,3478.25,3675.21,3812.51,3942.62,4145.27
3,3019.44,3291.26,3480.36,3654.01,3735.19,3832.75
2,2915.57,3140.47,3205.03,3308.32,3392.25,3463.27
