T,1,2,3,4,5,6
15Ü,6857.14,7587.33,8280.33,8734.83,8846.64,
15,5658.38,6067.30,6283.38,7050.89,7632.07,7854.52
14,5143.59,5515.90,5821.41,6283.38,6991.23,7194.48
13Ü,,5106.09,5366.89,6283.38,6991.23,7194.48
13,4759.37,5106.09,5366.89,5873.56,6573.97,6764.69
12,4310.90,4599.41,5210.41,5746.90,6439.85,6626.54
11,4178.35,4444.86,4748.43,5210.41,5881.02,6050.95
10,4038.42,4299.95,4599.41,4904.89,5486.13,5644.20
9b,3620.10,3870.81,4035.07,4488.99,4875.10,5014.87
9a,3620.10,3870.81,3925.58,4035.07,4488.99,4615.76
8,3419.52,3659.02,3795.52,3925.58,4069.31,4158.27
7,3235.83,3469.72,3645.69,3781.85,3891.36,3987.16
6,3186.57,3418.08,3547.20,3679.20,3768.15,3863.96
5,3073.97,3301.87,3430.99,3553.66,3652.34,3720.25
4,2949.24,3179.22,3340.61,3430.99,3521.39,3579.47
3,2915.57,3140.47,3205.03,3308.32,3392.25,3463.27
2Ü,2811.20,3030.72,3114.64,3217.96,3288.97,3385.81
2,2742.84,2953.24,3017.80,3082.36,3230.84,3385.81
1,,2534.49,2565.06,2601.78,2638.51,2730.30
