T,1,2,3,4,5,6
15,6051.06,6692.30,7307.83,7880.63,8410.68,8898.01
14,5666.36,6213.51,6743.57,7256.52,7743.85,8188.41
13,5324.40,5837.33,6333.21,6820.50,7196.68,7504.45
12,4982.44,5435.55,5888.64,6273.37,6649.55,6914.37
11,4683.20,5102.12,5469.74,5786.07,6051.06,6273.37
10,4383.99,4777.24,5161.93,5418.45,5597.98,5726.19
9,4132.29,4469.44,4802.91,5033.75,5119.19,5247.47
8,3886.76,4099.57,4281.39,4460.92,4640.46,4768.71
7,3641.20,3837.65,4009.57,4132.29,4214.18,4298.50
6,3436.52,3616.60,3780.33,3894.94,3960.38,4017.71
5,3231.90,3403.79,3551.16,3657.56,3723.03,3829.45
4,3118.11,3231.90,3371.07,3469.28,3534.78,3690.29
3b,3097.90,3191.79,3269.38,3326.68,3449.45,3572.25
3a,3035.88,3141.83,3231.90,3289.22,3411.97,3534.78
3,2910.10,3035.88,3141.83,3231.90,3289.22,3411.97
2,2755.54,2886.48,3004.43,3092.76,3150.06,3182.77
1,,,2531.97,,,
