T,1,2,3,4,5,6
16,,5240.04,5415.90,5983.76,6645.71,6937.70
15,,5132.29,5293.23,5695.60,6177.16,6361.06
14,,5013.53,5170.59,5563.22,6096.68,6194.02
13,,4894.78,5047.94,5430.82,5707.28,5778.68
12,,4657.22,4802.61,5166.04,5389.29,5493.13
11,,4419.71,4557.30,4901.27,5129.69,5233.54
10,,4184.40,4312.38,4675.42,4850.63,4960.96
9,,3992.39,4184.40,4312.38,4558.59,4662.42
8,,3701.21,3862.80,4075.58,4247.92,4488.98
7,,3510.30,3701.21,3998.33,4149.59,4305.40
6,3012.49,3187.41,3363.47,3737.95,3833.41,4013.41
5,2907.18,3146.33,3216.62,3334.09,3422.22,3629.25
