T,1,2,3,4,5,6
18,4720.52,4840.79,5436.63,5883.46,6553.73,6963.31
17,4352.39,4654.62,5138.69,5436.63,6032.40,6382.42
16,4263.29,4557.82,4885.49,5287.64,5734.48,6002.61
15,4112.68,4393.93,4691.87,5034.44,5585.57,5823.86
14,4073.39,4351.17,4682.24,5019.00,5391.41,5652.06
13,3978.03,4248.70,4617.39,4915.26,5287.64,5473.83
12,3967.57,4237.49,4590.75,4903.53,5290.81,5454.65
11b,3915.12,4181.19,4368.13,4844.78,5217.14,5440.57
11a,3846.25,4106.12,4291.48,4766.33,5138.69,5362.12
9,3648.68,3887.42,4166.69,4580.02,4970.99,5272.60
8b,3578.87,3812.64,4091.94,4503.48,4892.59,5190.90
8a,3509.44,3738.13,3976.82,4207.08,4432.16,4668.84
7,3426.93,3649.60,3871.14,4098.95,4270.11,4528.02
4,3291.46,3504.21,3698.06,3829.61,3956.37,4156.33
3,3119.87,3320.05,3506.28,3677.28,3755.52,3848.98
2,2908.36,3030.97,3121.67,3220.16,3330.92,3441.69
